a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-2
acl 2.2.53-3
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.36.1-1
alacritty 0.4.2-2
alsa-lib 1.2.2-1
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
alsa-utils 1.2.2-1
angular-cli 9.1.1-1
aom 1.0.0.errata1+avif-1
appstream 0.12.11-1
appstream-qt 0.12.11-1
arandr 0.1.10-4
archlinux-keyring 20200422-1
argon2 20190702-3
aribb24 1.0.3-2
asar 3.0.3-1
aspell 0.60.8-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-1
atlauncher 3.3.4.2-1
attica 5.70.0-1
attr 2.4.48-3
audiofile 0.3.6-5
audit 2.8.5-6
autoconf 2.69-7
autoconf-archive 1:2019.01.06-1
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
awesome 4.3-1
babl 0.1.74-1
balena-etcher 2:1.5.89-1
base 2-2
bash 5.0.016-1
bauh 0.9.3-1
bc 1.07.1-4
bibata-cursor-translucent 1.0.1-1
binutils 2.34-3
bison 3.5.4-1
blas 3.9.0-2
blueberry 1.3.5-1
bluedevil 1:5.18.5-1
bluez 5.54-2
bluez-libs 5.54-2
bluez-qt 5.70.0-1
bluez-tools 0.2.0-4
boost 1.72.0-2
boost-libs 1.72.0-2
breeze-icons 5.70.0-1
breezy 3.0.2.3-2
brotli 1.0.7-3
bspwm 0.9.9-1
btrfs-progs 5.6.1-1
bubblewrap 0.4.1-1
bzip2 1.0.8-3
c-ares 1.16.1-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.52-1
ca-certificates-utils 20181109-3
cabextract 1.9.1-1
cairo 1.17.2+17+g52a7c79fd-2
cairo-clock 0.3.4-4
cairomm 1.12.2-3
cantarell-fonts 1:0.201-1
capitaine-cursors 4-1
catimg 2.6.0-1
cava 0.6.1-1
cblas 3.9.0-2
cdparanoia 10.2-7
cdrtools 3.02a09-2
